Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
172.16.0.1-192.168.10.50-20743-80-6,172.16.0.1,20743,192.168.10.50,80,6,7/7/2017 4:01,8972783,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.674755424,0.445792571,2990927.667,5179566.617,8971776,3,8972783,2990927.667,5179566.617,8971776,3,0,0.0,0.0,0,0,0,0,0,0,80,0,0.445792571,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1007.0,0.0,1007,1007,8971776.0,0.0,8971776,8971776
172.16.0.1-192.168.10.50-29344-80-6,172.16.0.1,29344,192.168.10.50,80,6,7/7/2017 4:07,1577446,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,7374.578908,5.071488976,225349.4286,595658.1391,1576175,4,861,430.5,603.1620844,857,4,1577341,394335.25,787893.2328,1576175,155,0,0,0,0,72,112,1.901808366,3.16968061,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
172.16.0.1-192.168.10.50-57957-80-6,172.16.0.1,57957,192.168.10.50,80,6,7/7/2017 4:10,94144129,8,5,56,11601,20,0,7.0,5.656854249,7300,0,2320.2,3022.508098,123.8207855,0.138086147,7845344.083,24300000.0,84600000,3,94000000,13400000.0,31600000.0,84600000,3,202948,50737.0,94709.40839,192663,199,0,0,0,0,172,112,0.08497609,0.053110056,0,7300,833.0714286,2033.250541,4134107.764,0,0,0,0,1,0,0,0,0,897.1538462,7.0,2320.2,172,0,0,0,0,0,0,8,56,5,11601,256,229,6,20,821.0,0.0,821,821,47000000.0,53300000.0,84600000,9304768
172.16.0.1-192.168.10.50-51077-80-6,172.16.0.1,51077,192.168.10.50,80,6,7/7/2017 3:57,791593,3,5,26,11601,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,14688.10361,10.10620357,113084.7143,293934.0781,779598,57,11597,5798.5,7839.692883,11342,255,791536,197884.0,387847.5824,779598,65,0,0,0,0,72,112,3.789826338,6.316377229,0,5840,1291.888889,2110.95076,4456113.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
192.168.10.16-199.244.48.55-42702-443-6,192.168.10.16,42702,199.244.48.55,443,6,7/7/2017 3:31,153563,69,105,1427,217337,570,0,20.68115942,91.37728717,4344,0,2069.87619,935.9678218,1424587.954,1133.085444,887.6473988,3914.335905,23389,1,153532,2257.823529,6112.232792,23980,2,130174,1251.673077,4691.867027,23929,2,0,0,0,0,1700,3368,449.3269863,683.7584574,0,4344,1250.08,1241.275759,1540765.511,0,0,0,1,0,0,0,0,1,1257.264368,20.68115942,2069.87619,1700,0,0,0,0,0,0,69,1427,105,217337,29200,61,47,20,0.0,0.0,0,0,0.0,0.0,0,0
172.16.0.1-192.168.10.50-29583-80-6,172.16.0.1,29583,192.168.10.50,80,6,7/7/2017 4:07,544260,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,21373.97567,14.69885716,77751.42857,205278.5065,543279,3,736,368.0,516.1879503,733,3,544214,136053.5,271483.8475,543279,5,0,0,0,0,72,112,5.512071436,9.186785727,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
172.16.0.1-192.168.10.50-54998-80-6,172.16.0.1,54998,192.168.10.50,80,6,7/7/2017 3:59,8134788,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.950292005,0.491715334,2711596.0,4696514.655,8134664,3,8134788,2711596.0,4696514.655,8134664,3,0,0.0,0.0,0,0,0,0,0,0,80,0,0.491715334,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,124.0,0.0,124,124,8134664.0,0.0,8134664,8134664
172.16.0.1-192.168.10.50-19306-80-6,172.16.0.1,19306,192.168.10.50,80,6,7/7/2017 4:00,8056579,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.978931877,0.496488646,2685526.333,4650432.298,8055383,296,8056579,2685526.333,4650432.298,8055383,296,0,0.0,0.0,0,0,0,0,0,0,80,0,0.496488646,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1196.0,0.0,1196,1196,8055383.0,0.0,8055383,8055383
172.16.0.1-192.168.10.50-63032-80-6,172.16.0.1,63032,192.168.10.50,80,6,7/7/2017 4:03,203503,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,57163.77646,34.39752731,33917.16667,82709.78464,202747,4,675,337.5,471.6402231,671,4,203492,67830.66667,116841.55,202747,5,0,0,0,0,72,92,14.74179742,19.65572989,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
192.168.10.3-192.168.10.14-53-64070-17,192.168.10.14,64070,192.168.10.3,53,17,7/7/2017 4:13,34,2,2,84,204,42,42,42.0,0.0,102,102,102.0,0.0,8470588.235,117647.0588,11.33333333,15.30795,29,2,2,2.0,0.0,2,2,3,3.0,0.0,3,3,0,0,0,0,40,40,58823.52941,58823.52941,42,102,66.0,32.86335345,1080.0,0,0,0,0,0,0,0,0,1,82.5,42.0,102.0,40,0,0,0,0,0,0,2,84,2,204,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
