Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.1-192.168.10.3-53-61162-17,192.168.10.3,61162,192.168.10.1,53,17,7/7/2017 4:12,50876,1,1,61,89,61,61,61.0,0.0,89,89,89.0,0.0,2948.344996,39.31126661,50876.0,0.0,50876,50876,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,19.6556333,19.6556333,61,89,70.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,105.5,61.0,89.0,32,0,0,0,0,0,0,1,61,1,89,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-26809-80-6,192.168.10.50,80,172.16.0.1,26809,6,7/7/2017 4:05,8099345,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,4.44480387,0.740800645,1619869.0,3611757.572,8080773,3,0,0.0,0.0,0,0,8089793,2022448.25,4038884.747,8080773,3,0,0,0,0,20,100,0.123466774,0.617333871,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,18572.0,0.0,18572,18572,8080773.0,0.0,8080773,8080773,BENIGN
192.168.10.12-61.251.165.12-36596-80-6,192.168.10.12,36596,61.251.165.12,80,6,7/7/2017 3:51,471525,3,4,646,421,646,0,215.3333333,372.9682739,421,0,105.25,210.5,2262.870473,14.84544828,78587.5,121209.7577,240544,3,229690,114845.0,162183.4255,229526,164,242065,80688.33333,138639.7429,240774,3,0,0,0,0,104,136,6.362334977,8.483113303,0,646,133.375,254.1781926,64606.55357,0,0,0,1,0,0,0,0,1,152.4285714,215.3333333,105.25,104,0,0,0,0,0,0,3,646,4,421,29200,5026,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.5-104.97.139.37-55579-443-6,192.168.10.5,55579,104.97.139.37,443,6,7/7/2017 3:38,118332070,21,17,1586,5816,1134,0,75.52380952,247.3043912,2230,0,342.1176471,737.4037126,62.55278049,0.321130189,3198164.054,4593738.809,10100000,4,118000000,5916603.5,4828774.482,10100000,4,113000000,7048008.438,4607322.43,10100000,68,0,0,0,0,432,484,0.177466683,0.143663506,0,2230,189.7948718,528.8540829,279686.641,0,0,0,1,0,0,0,0,0,194.7894737,75.52380952,342.1176471,432,0,0,0,0,0,0,21,1586,17,5816,8192,1017,20,20,212249.5,653280.2944,2286693,23478,9648756.0,1294350.12,10100000,5540119,BENIGN
180.148.171.45-192.168.10.25-443-53687-6,192.168.10.25,53687,180.148.171.45,443,6,7/7/2017 4:21,748,5,0,37,0,37,0,7.4,16.54690303,0,0,0.0,0.0,49465.24064,6684.491979,187.0,261.8714697,558,1,748,187.0,261.8714697,558,1,0,0.0,0.0,0,0,0,0,0,0,160,0,6684.491979,0.0,0,37,6.166666667,15.10518675,228.1666667,0,0,0,0,1,0,0,0,0,7.4,7.4,0.0,160,0,0,0,0,0,0,5,37,0,0,65535,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.12-53-63503-17,192.168.10.12,63503,192.168.10.3,53,17,7/7/2017 4:09,214,2,2,64,258,32,32,32.0,0.0,129,129,129.0,0.0,1504672.897,18691.58879,71.33333333,82.5126253,163,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,64,64,9345.794393,9345.794393,32,129,70.8,53.12908808,2822.7,0,0,0,0,0,0,0,0,1,88.5,32.0,129.0,64,0,0,0,0,0,0,2,64,2,258,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.12-53-5142-17,192.168.10.12,5142,192.168.10.3,53,17,7/7/2017 4:07,240,2,2,66,164,33,33,33.0,0.0,82,82,82.0,0.0,958333.3333,16666.66667,80.0,98.23950326,190,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,80,80,8333.333333,8333.333333,33,82,52.6,26.83840532,720.3,0,0,0,0,0,0,0,0,1,65.75,33.0,82.0,80,0,0,0,0,0,0,2,66,2,164,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-60480-17,192.168.10.3,60480,192.168.10.1,53,17,7/7/2017 4:58,73007,1,1,53,107,53,53,53.0,0.0,107,107,107.0,0.0,2191.570671,27.39463339,73007.0,0.0,73007,73007,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,13.6973167,13.6973167,53,107,71.0,31.17691454,972.0,0,0,0,0,0,0,0,0,1,106.5,53.0,107.0,20,0,0,0,0,0,0,1,53,1,107,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-23658-80-6,172.16.0.1,23658,192.168.10.50,80,6,7/7/2017 4:03,6864807,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.496092461,0.582682077,2288269.0,3962539.969,6863816,3,6864807,2288269.0,3962539.969,6863816,3,0,0.0,0.0,0,0,0,0,0,0,80,0,0.582682077,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,991.0,0.0,991,991,6863816.0,0.0,6863816,6863816,DDoS
178.162.205.42-192.168.10.15-443-60309-6,192.168.10.15,60309,178.162.205.42,443,6,7/7/2017 4:29,41612,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,288.3783524,48.06305873,41612.0,0.0,41612,41612,41612,41612.0,0.0,41612,41612,0,0.0,0.0,0,0,0,0,0,0,40,0,48.06305873,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,254,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
