Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.1-192.168.10.50-52080-80-6,172.16.0.1,52080,192.168.10.50,80,6,7/7/2017 3:56,101810,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,114202.927,88.39996071,12726.25,31174.39944,89286,16,12004,6002.0,7399.165358,11234,770,101794,20358.8,38877.70274,89286,17,0,0,0,0,72,132,29.46665357,58.93330714,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-62002-80-6,172.16.0.1,62002,192.168.10.50,80,6,7/7/2017 4:12,70200,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,165712.2507,99.71509972,11700.0,28333.8963,69535,6,611,305.5,364.1599923,563,48,70152,23384.0,39969.08314,69535,6,0,0,0,0,72,92,42.73504274,56.98005698,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-37927-80-6,172.16.0.1,37927,192.168.10.50,80,6,7/7/2017 4:12,3389339,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,8.851283392,1.475213899,847334.75,1692682.362,3386358,4,3389339,847334.75,1692682.362,3386358,4,0,0.0,0.0,0,0,0,0,0,0,100,0,1.475213899,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-60359-80-6,172.16.0.1,60359,192.168.10.50,80,6,7/7/2017 4:03,9776770,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.454798466,0.409133078,3258923.333,5643749.592,9775764,3,9776770,3258923.333,5643749.592,9775764,3,0,0.0,0.0,0,0,0,0,0,0,80,0,0.409133078,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1006.0,0.0,1006,1006,9775764.0,0.0,9775764,9775764,DDoS
172.16.0.1-192.168.10.50-51629-80-6,172.16.0.1,51629,192.168.10.50,80,6,7/7/2017 4:06,1133587,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,10262.11486,7.057243952,161941.0,427914.6555,1132360,1,956,478.0,588.3128419,894,62,1133538,283384.5,565983.7841,1132360,119,0,0,0,0,72,112,2.646466482,4.41077747,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-65290-80-6,172.16.0.1,65290,192.168.10.50,80,6,7/7/2017 4:14,1080887,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,10756.90613,6.476162633,180147.8333,436112.453,1070323,49,10065,5032.5,6978.436824,9967,98,1080833,360277.6667,614936.0695,1070323,450,0,0,0,0,72,92,2.775498271,3.700664362,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-58946-80-6,172.16.0.1,58946,192.168.10.50,80,6,7/7/2017 4:02,2025045,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,11.85158848,1.975264747,675015.0,1166479.674,2021949,352,2025045,675015.0,1166479.674,2021949,352,0,0.0,0.0,0,0,0,0,0,0,80,0,1.975264747,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-20906-80-6,172.16.0.1,20906,192.168.10.50,80,6,7/7/2017 4:01,177742,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,65448.79657,50.63519033,22217.75,62364.49718,176561,3,905,452.5,569.2209589,855,50,177589,35517.8,78846.49689,176561,3,0,0,0,0,72,132,16.87839678,33.75679355,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-52366-80-6,172.16.0.1,52366,192.168.10.50,80,6,7/7/2017 3:57,72530270,8,4,56,11601,20,0,7.0,5.656854249,5840,0,2900.25,3345.636997,160.7191039,0.165448164,6593660.909,18900000.0,63200000,3,71300000,10200000.0,23600000.0,63200000,3,1222246,407415.3333,677837.4977,1189897,190,0,0,0,0,172,92,0.110298776,0.055149388,0,5840,897.1538462,2174.910107,4730233.974,0,0,0,0,1,0,0,0,0,971.9166667,7.0,2900.25,172,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,2999.0,0.0,2999,2999,35700000.0,39000000.0,63200000,8059818,DDoS
173.241.242.143-192.168.10.9-443-9998-6,192.168.10.9,9998,173.241.242.143,443,6,7/7/2017 4:24,169,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,71005.91716,11834.31953,169.0,0.0,169,169,169,169.0,0.0,169,169,0,0.0,0.0,0,0,0,0,0,0,40,0,11834.31953,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,254,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
