Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.3-192.168.10.12-53-26938-17,192.168.10.12,26938,192.168.10.3,53,17,7/7/2017 4:03,381343,2,2,82,176,41,41,41.0,0.0,88,88,88.0,0.0,676.5562761,10.48924459,127114.3333,220164.1536,381338,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,80,40,5.244622295,5.244622295,41,88,59.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,74.75,41.0,88.0,80,0,0,0,0,0,0,2,82,2,176,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.9-53-55711-17,192.168.10.9,55711,192.168.10.3,53,17,7/7/2017 4:23,196,2,2,60,264,30,30,30.0,0.0,132,132,132.0,0.0,1653061.224,20408.16327,65.33333333,107.0996421,189,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,10204.08163,10204.08163,30,132,70.8,55.86770087,3121.2,0,0,0,0,0,0,0,0,1,88.5,30.0,132.0,64,0,0,0,0,0,0,2,60,2,264,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.5-52.84.143.188-55473-80-6,52.84.143.188,80,192.168.10.5,55473,6,7/7/2017 3:39,74,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,162162.1622,27027.02703,74.0,0.0,74,74,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,13513.51351,13513.51351,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,119,252,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-64271-80-6,192.168.10.50,80,172.16.0.1,64271,6,7/7/2017 4:05,6059006,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,5.941568634,0.990261439,1211801.2,2701750.511,6044836,1,0,0.0,0.0,0,0,6053852,1513463.0,3020917.435,6044836,1,0,0,0,0,20,100,0.165043573,0.825217866,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,14170.0,0.0,14170,14170,6044836.0,0.0,6044836,6044836,BENIGN
192.168.10.3-192.168.10.8-53-62410-17,192.168.10.8,62410,192.168.10.3,53,17,7/7/2017 4:44,61452,2,2,84,310,42,42,42.0,0.0,155,155,155.0,0.0,6411.508169,65.09145349,20484.0,35475.86465,61448,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,0,0,0,0,40,40,32.54572675,32.54572675,42,155,87.2,61.892649,3830.7,0,0,0,0,0,0,0,0,1,109.0,42.0,155.0,40,0,0,0,0,0,0,2,84,2,310,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-50624-80-6,192.168.10.50,80,172.16.0.1,50624,6,7/7/2017 4:15,41800,7,2,11607,26,7300,0,1658.142857,2714.554379,20,6,13.0,9.899494937,278301.4354,215.3110048,5225.0,13601.44877,38841,69,41800,6966.666667,15642.48551,38841,69,206,206.0,0.0,206,206,0,0,0,0,164,40,167.4641148,47.84688995,0,7300,1163.3,2355.293426,5547407.122,0,0,0,1,0,0,0,0,0,1292.555556,1658.142857,13.0,164,0,0,0,0,0,0,7,11607,2,26,8192,256,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.15-54.247.169.221-60571-443-6,192.168.10.15,60571,54.247.169.221,443,6,7/7/2017 4:40,115535019,20,18,784,4018,342,0,39.2,86.33874534,1460,0,223.2222222,483.0590703,41.56315584,0.328904607,3122568.081,4576201.124,10000000,3,116000000,6080790.474,4907523.936,10100000,3,112000000,6559893.529,4945979.575,10100000,49,0,0,0,0,412,504,0.173107688,0.155796919,0,1460,123.1282051,342.0100937,116970.9042,0,0,0,1,0,0,0,0,0,126.3684211,39.2,223.2222222,412,0,0,0,0,0,0,20,784,18,4018,8192,114,19,20,141827.2727,129435.8634,532088,102451,9996296.0,15173.71479,10000000,9950573,BENIGN
172.16.0.1-192.168.10.50-51644-80-6,192.168.10.50,80,172.16.0.1,51644,6,7/7/2017 3:57,5379248,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,6.692385255,1.115397543,1075849.6,2393008.71,5356575,0,0,0.0,0.0,0,0,5373907,1343476.75,2675411.303,5356575,0,0,0,0,0,20,100,0.18589959,0.929497952,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,22673.0,0.0,22673,22673,5356575.0,0.0,5356575,5356575,BENIGN
192.168.10.1-192.168.10.3-53-60455-17,192.168.10.3,60455,192.168.10.1,53,17,7/7/2017 3:36,23745,1,1,79,207,79,79,79.0,0.0,207,207,207.0,0.0,12044.64098,84.22825858,23745.0,0.0,23745,23745,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,42.11412929,42.11412929,79,207,121.6666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,182.5,79.0,207.0,20,0,0,0,0,0,0,1,79,1,207,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-51696-80-6,192.168.10.50,80,172.16.0.1,51696,6,7/7/2017 4:06,81940488,5,9,11613,62,11595,0,2322.6,5183.42983,20,0,6.888888889,5.30199124,142.4814556,0.170855707,6303114.462,20800000.0,75300000,1,81900000,20500000.0,41000000.0,81900000,177,81900000,10200000.0,26400000.0,75300000,1,0,0,0,0,112,192,0.061019895,0.109835812,0,11595,778.7333333,2992.233243,8953459.781,0,0,0,0,1,1,0,0,1,834.3571429,2322.6,6.888888889,112,0,0,0,0,0,0,5,11613,9,62,229,256,3,20,27683.0,0.0,27683,27683,40900000.0,48700000.0,75300000,6545601,BENIGN
192.168.10.3-192.168.10.5-53-63927-17,192.168.10.5,63927,192.168.10.3,53,17,7/7/2017 4:23,141,2,2,64,120,32,32,32.0,0.0,60,60,60.0,0.0,1304964.539,28368.79433,47.0,76.21023553,135,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,14184.39716,14184.39716,32,60,43.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,54.0,32.0,60.0,64,0,0,0,0,0,0,2,64,2,120,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.5-53-50286-17,192.168.10.5,50286,192.168.10.3,53,17,7/7/2017 3:41,243,2,2,76,250,38,38,38.0,0.0,125,125,125.0,0.0,1341563.786,16460.90535,81.0,56.29387178,146,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,40,40,8230.452675,8230.452675,38,125,72.8,47.6518625,2270.7,0,0,0,0,0,0,0,0,1,91.0,38.0,125.0,40,0,0,0,0,0,0,2,76,2,250,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.50-53-24981-17,192.168.10.50,24981,192.168.10.3,53,17,7/7/2017 3:34,183,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,502732.2404,21857.9235,61.0,103.9230485,181,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,10928.96175,10928.96175,23,23,23.0,0.0,0.0,0,0,0,0,0,0,0,0,1,28.75,23.0,23.0,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.9-205.174.165.73-9223-8080-6,192.168.10.9,9223,205.174.165.73,8080,6,7/7/2017 3:39,1024990,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,17.56114694,5.853715646,204998.0,279911.7646,514281,443,1024547,512273.5,3527.755731,514768,509779,1024168,512084.0,3733.523805,514724,509444,0,0,0,0,92,60,2.926857823,2.926857823,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
178.172.160.3-192.168.10.25-443-53731-6,192.168.10.25,53731,178.172.160.3,443,6,7/7/2017 4:24,637541,13,13,919,17127,485,0,70.69230769,146.0755425,3890,0,1317.461538,1157.55825,28305.63054,40.7816909,25501.64,56695.597,161867,1,637356,53113.0,73840.21168,162159,1,488748,40729.0,73515.93926,175430,48,0,0,0,0,428,424,20.39084545,20.39084545,0,3890,668.3703704,1017.21846,1034733.396,0,0,0,1,0,0,0,0,1,694.0769231,70.69230769,1317.461538,428,0,0,0,0,0,0,13,919,13,17127,65535,243,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.14-23.52.155.27-58956-80-6,23.52.155.27,80,192.168.10.14,58956,6,7/7/2017 4:59,34,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,352941.1765,58823.52941,34.0,0.0,34,34,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,29411.76471,29411.76471,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,913,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-59023-80-6,192.168.10.50,80,172.16.0.1,59023,6,7/7/2017 4:02,10032306,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,3.588407291,0.598067882,2006461.2,4483997.722,10000000,345,0,0.0,0.0,0,0,10000000,2507412.75,5013511.516,10000000,345,0,0,0,0,20,100,0.09967798,0.498389902,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,4626.0,0.0,4626,4626,10000000.0,0.0,10000000,10000000,BENIGN
192.168.10.3-192.168.10.12-53-30616-17,192.168.10.12,30616,192.168.10.3,53,17,7/7/2017 4:05,240,2,2,64,258,32,32,32.0,0.0,129,129,129.0,0.0,1341666.667,16666.66667,80.0,98.95958771,191,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,40,40,8333.333333,8333.333333,32,129,70.8,53.12908808,2822.7,0,0,0,0,0,0,0,0,1,88.5,32.0,129.0,40,0,0,0,0,0,0,2,64,2,258,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-64115-80-6,192.168.10.50,80,172.16.0.1,64115,6,7/7/2017 4:13,353875,7,2,11607,26,7300,0,1658.142857,2714.554379,20,6,13.0,9.899494937,32873.18969,25.43270929,44234.375,124738.8244,352947,1,353875,58979.16667,144014.473,352947,1,105,105.0,0.0,105,105,0,0,0,0,164,40,19.78099611,5.651713176,0,7300,1163.3,2355.293426,5547407.122,0,0,0,1,0,0,0,0,0,1292.555556,1658.142857,13.0,164,0,0,0,0,0,0,7,11607,2,26,8192,256,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.12-53-30450-17,192.168.10.12,30450,192.168.10.3,53,17,7/7/2017 3:51,947155,2,2,78,166,39,39,39.0,0.0,83,83,83.0,0.0,257.6135902,4.223173609,315718.3333,546835.8641,947150,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,40,40,2.111586805,2.111586805,39,83,56.6,24.09979253,580.8,0,0,0,0,0,0,0,0,1,70.75,39.0,83.0,40,0,0,0,0,0,0,2,78,2,166,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-49219-80-6,192.168.10.50,80,172.16.0.1,49219,6,7/7/2017 4:14,84274,6,2,11607,26,10135,0,1934.5,4059.461922,20,6,13.0,9.899494937,138037.829,94.92844768,12039.14286,30881.3858,82055,4,84274,16854.8,36457.67402,82055,4,44,44.0,0.0,44,44,0,0,0,0,144,40,71.19633576,23.73211192,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,0,1454.125,1934.5,13.0,144,0,0,0,0,0,0,6,11607,2,26,8192,256,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.12-61.251.165.12-39108-80-6,192.168.10.12,39108,61.251.165.12,80,6,7/7/2017 4:15,418508,3,4,680,421,680,0,226.6666667,392.598183,421,0,105.25,210.5,2630.774083,16.72608409,69751.33333,107528.211,208581,4,208759,104379.5,147429.6426,208628,131,209927,69975.66667,120169.7023,208734,4,0,0,0,0,104,136,7.168321753,9.557762337,0,680,137.625,264.0659753,69730.83929,0,0,0,1,0,0,0,0,1,157.2857143,226.6666667,105.25,104,0,0,0,0,0,0,3,680,4,421,29200,5060,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.9-199.233.57.20-9155-443-6,192.168.10.9,9155,199.233.57.20,443,6,7/7/2017 3:36,161,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,74534.16149,12422.36025,161.0,0.0,161,161,161,161.0,0.0,161,161,0,0.0,0.0,0,0,0,0,0,0,40,0,12422.36025,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-58364-80-6,192.168.10.50,80,172.16.0.1,58364,6,7/7/2017 4:00,76894861,6,10,11607,68,8760,0,1934.5,3414.854477,20,0,6.8,5.006662228,151.8306926,0.208076324,5126324.067,18600000.0,72300000,1,76900000,15400000.0,34400000.0,76900000,45,76900000,8541868.556,24000000.0,72300000,1,0,0,0,0,132,212,0.078028621,0.130047702,0,8760,687.1176471,2132.111626,4545899.985,0,0,0,0,1,1,0,0,1,730.0625,1934.5,6.8,132,0,0,0,0,0,0,6,11607,10,68,229,256,4,20,4525325.0,0.0,4525325,4525325,72300000.0,0.0,72300000,72300000,BENIGN
192.168.10.1-192.168.10.3-53-61369-17,192.168.10.3,61369,192.168.10.1,53,17,7/7/2017 3:51,469,1,1,52,129,52,52,52.0,0.0,129,129,129.0,0.0,385927.5053,4264.392324,469.0,0.0,469,469,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,2132.196162,2132.196162,52,129,77.66666667,44.45597073,1976.333333,0,0,0,0,0,0,0,0,1,116.5,52.0,129.0,32,0,0,0,0,0,0,1,52,1,129,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-55038-80-6,192.168.10.50,80,172.16.0.1,55038,6,7/7/2017 3:58,72317561,6,9,11613,62,10220,0,1935.5,4095.416255,20,0,6.888888889,5.30199124,161.4407322,0.2074185,5165540.071,16800000.0,62800000,1,72300000,14500000.0,32300000.0,72300000,2,72200000,9029419.0,22000000.0,62800000,1,0,0,0,0,132,192,0.0829674,0.1244511,0,10220,730.0625,2553.585204,6520797.396,0,0,0,0,1,1,0,0,1,778.7333333,1935.5,6.888888889,132,0,0,0,0,0,0,6,11613,9,62,229,256,4,20,29330.0,0.0,29330,29330,36100000.0,37700000.0,62800000,9452236,BENIGN
172.16.0.1-192.168.10.50-25790-80-6,192.168.10.50,80,172.16.0.1,25790,6,7/7/2017 4:04,9607758,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,3.746971978,0.62449533,1921551.6,4282158.858,9581689,284,0,0.0,0.0,0,0,9583792,2395948.0,4790494.026,9581689,284,0,0,0,0,20,100,0.104082555,0.520412775,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,26069.0,0.0,26069,26069,9581689.0,0.0,9581689,9581689,BENIGN
192.168.10.1-192.168.10.3-53-61399-17,192.168.10.3,61399,192.168.10.1,53,17,7/7/2017 4:48,30164,1,1,41,69,41,41,41.0,0.0,69,69,69.0,0.0,3646.731203,66.30420369,30164.0,0.0,30164,30164,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,33.15210184,33.15210184,41,69,50.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,75.5,41.0,69.0,20,0,0,0,0,0,0,1,41,1,69,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-55115-80-6,192.168.10.50,80,172.16.0.1,55115,6,7/7/2017 3:58,73991288,6,10,11613,68,10135,0,1935.5,4058.890772,20,0,6.8,5.006662228,157.8699373,0.216241674,4932752.533,16700000.0,64900000,1,74000000,14800000.0,32100000.0,72100000,5,72100000,8012305.222,21500000.0,64900000,1,0,0,0,0,132,212,0.081090628,0.135151046,0,10135,687.4705882,2459.880437,6051011.765,0,0,0,0,1,1,0,0,1,730.4375,1935.5,6.8,132,0,0,0,0,0,0,6,11613,10,68,229,256,4,20,48784.0,0.0,48784,48784,36000000.0,40800000.0,64900000,7191006,BENIGN
172.16.0.1-192.168.10.50-54288-80-6,192.168.10.50,80,172.16.0.1,54288,6,7/7/2017 4:08,88552615,6,10,11607,68,7300,0,1934.5,2863.744245,20,0,6.8,5.006662228,131.842521,0.180683541,5903507.667,21600000.0,84000000,1,88600000,17700000.0,39400000.0,88200000,193,88200000,9801726.444,27900000.0,84000000,1,0,0,0,0,132,212,0.067756328,0.112927213,0,7300,687.1176471,1861.340239,3464587.485,0,0,0,0,1,1,0,0,1,730.0625,1934.5,6.8,132,0,0,0,0,0,0,6,11607,10,68,229,256,4,20,4140807.0,0.0,4140807,4140807,84000000.0,0.0,84000000,84000000,BENIGN
192.168.10.15-23.111.11.111-59465-443-6,23.111.11.111,443,192.168.10.15,59465,6,7/7/2017 4:13,1639,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,7321.537523,1220.256254,1639.0,0.0,1639,1639,1639,1639.0,0.0,1639,1639,0,0.0,0.0,0,0,0,0,0,0,40,0,1220.256254,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,30,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-39213-80-6,192.168.10.50,80,172.16.0.1,39213,6,7/7/2017 4:13,10013009,1,6,1375,30,1375,1375,1375.0,0.0,6,0,5.0,2.449489743,140.317461,0.699090553,1668834.833,4065614.236,9967710,1,0,0.0,0.0,0,0,9992550,1998510.0,4454927.725,9967710,1,1,0,0,0,20,132,0.099870079,0.599220474,0,1375,347.5,634.1901472,402197.1429,0,1,0,0,1,1,0,0,6,397.1428571,1375.0,5.0,20,0,0,0,0,0,0,1,1375,6,30,229,0,0,20,45299.0,0.0,45299,45299,9967710.0,0.0,9967710,9967710,BENIGN
192.168.10.14-104.244.43.176-58310-443-6,192.168.10.14,58310,104.244.43.176,443,6,7/7/2017 4:14,106,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,113207.5472,18867.92453,106.0,0.0,106,106,106,106.0,0.0,106,106,0,0.0,0.0,0,0,0,0,0,0,40,0,18867.92453,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.12-53-65244-17,192.168.10.12,65244,192.168.10.3,53,17,7/7/2017 3:55,236,2,2,64,204,32,32,32.0,0.0,102,102,102.0,0.0,1135593.22,16949.15254,78.66666667,53.11622477,140,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,80,80,8474.576271,8474.576271,32,102,60.0,38.34057903,1470.0,0,0,0,0,0,0,0,0,1,75.0,32.0,102.0,80,0,0,0,0,0,0,2,64,2,204,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.25-61.251.165.12-54242-80-6,192.168.10.25,54242,61.251.165.12,80,6,7/7/2017 5:00,426126,3,4,703,421,703,0,234.3333333,405.8772392,421,0,105.25,210.5,2637.717483,16.42706617,71021.0,109353.674,212381,3,212594,106297.0,149738.3462,212178,416,214117,71372.33333,122625.0488,212966,3,0,0,0,0,108,136,7.040171217,9.386894956,0,703,140.5,270.852622,73361.14286,0,0,0,1,0,0,0,0,1,160.5714286,234.3333333,105.25,108,0,0,0,0,0,0,3,703,4,421,65535,5083,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-59919-80-6,192.168.10.50,80,172.16.0.1,59919,6,7/7/2017 4:13,3403321,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,10.57790317,1.762983862,680664.2,1505802.786,3374297,3,0,0.0,0.0,0,0,3391884,847971.0,1684234.427,3374297,3,0,0,0,0,20,100,0.293830644,1.469153218,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-61666-80-6,192.168.10.50,80,172.16.0.1,61666,6,7/7/2017 4:02,80287029,5,9,11607,62,8760,0,2321.4,3802.315321,20,0,6.888888889,5.30199124,145.3410363,0.174374369,6175925.308,20300000.0,73500000,1,80300000,20100000.0,40100000.0,80200000,174,80300000,10000000.0,25700000.0,73500000,1,0,0,0,0,112,192,0.06227656,0.112097808,0,8760,778.3333333,2325.15043,5406324.524,0,0,0,0,1,1,0,0,1,833.9285714,2321.4,6.888888889,112,0,0,0,0,0,0,5,11607,9,62,229,256,3,20,26086.0,0.0,26086,26086,40100000.0,47200000.0,73500000,6725949,BENIGN
