Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
172.16.0.1-192.168.10.50-64086-80-6,172.16.0.1,64086,192.168.10.50,80,6,7/7/2017 4:05,8143470,7,6,50,11601,20,0,7.142857143,6.094494002,4380,0,1933.5,1757.789948,1430.716881,1.59637108,678622.5,2318539.64,8040616,1,8126752,1354458.667,3275686.528,8040616,1,21643,4328.6,7067.404672,16381,10,0,0,0,0,152,132,0.859584428,0.736786652,0,4380,832.6428571,1472.155908,2167243.016,0,0,0,0,1,0,0,0,0,896.6923077,7.142857143,1933.5,152,0,0,0,0,0,0,7,50,6,11601,256,229,5,20,81156.0,0.0,81156,81156,8040616.0,0.0,8040616,8040616
172.16.0.1-192.168.10.50-35207-80-6,172.16.0.1,35207,192.168.10.50,80,6,7/7/2017 4:11,159140,3,5,26,11607,20,0,8.666666667,10.26320288,7300,0,2321.4,3346.363967,73099.15797,50.27020234,22734.28571,59642.65784,157990,2,755,377.5,529.6229791,752,3,159091,39772.75,78812.46922,157990,2,0,0,0,0,72,112,18.85132588,31.41887646,0,7300,1292.555556,2662.264877,7087654.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
172.16.0.1-192.168.10.50-55458-80-6,172.16.0.1,55458,192.168.10.50,80,6,7/7/2017 4:08,90654574,8,3,56,11601,20,0,7.0,5.656854249,11595,0,3867.0,6692.644993,128.5870032,0.121339713,9065457.4,25600000.0,81500000,1,90300000,12900000.0,30400000.0,81500000,1,344978,172489.0,209644.4327,320730,24248,0,0,0,0,172,72,0.088247064,0.033092649,0,11595,971.9166667,3345.407285,11200000.0,0,0,0,0,1,0,0,0,0,1060.272727,7.0,3867.0,172,0,0,0,0,0,0,8,56,3,11601,256,229,6,20,2977.0,0.0,2977,2977,45200000.0,51400000.0,81500000,8783831
172.16.0.1-192.168.10.50-53945-80-6,172.16.0.1,53945,192.168.10.50,80,6,7/7/2017 4:07,88567691,9,6,62,11601,20,0,6.888888889,5.30199124,5840,0,1933.5,2189.772933,131.6845891,0.169361986,6326263.643,22000000.0,82600000,10,87700000,11000000.0,29000000.0,82600000,92,912461,182492.2,399700.4006,897414,14,0,0,0,0,192,132,0.101617191,0.067744794,0,5840,729.3125,1589.473738,2526426.763,0,0,0,0,1,0,0,0,0,777.9333333,6.888888889,1933.5,192,0,0,0,0,0,0,9,62,6,11601,256,229,7,20,1664.0,0.0,1664,1664,43800000.0,54800000.0,82600000,5071878
172.16.0.1-192.168.10.50-25409-80-6,172.16.0.1,25409,192.168.10.50,80,6,7/7/2017 4:04,4933382,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,4.864816874,0.810802812,1644460.667,2847546.377,4932524,352,4933382,1644460.667,2847546.377,4932524,352,0,0.0,0.0,0,0,0,0,0,0,80,0,0.810802812,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
172.16.0.1-192.168.10.50-62181-80-6,172.16.0.1,62181,192.168.10.50,80,6,7/7/2017 4:14,24137232,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,1.242893137,0.207148856,6034308.0,12100000.0,24100000,1,24100000,6034308.0,12100000.0,24100000,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.207148856,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,3843.0,0.0,3843,3843,24100000.0,0.0,24100000,24100000
172.16.0.1-192.168.10.50-35122-80-6,172.16.0.1,35122,192.168.10.50,80,6,7/7/2017 4:11,36677,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,317010.6606,190.8553044,6112.833333,14154.0042,34993,3,35016,17508.0,24755.80841,35013,3,36657,12219.0,19799.70411,35080,545,0,0,0,0,72,92,81.79513046,109.060174,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
172.16.0.1-192.168.10.50-23751-80-6,172.16.0.1,23751,192.168.10.50,80,6,7/7/2017 4:03,1211520,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2189.772933,9597.035129,7.428684628,151440.0,426402.0901,1206727,46,3847,1923.5,2597.203207,3760,87,1211373,242274.6,539147.4395,1206727,46,0,0,0,0,72,132,2.476228209,4.952456418,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
172.16.0.1-192.168.10.50-14815-80-6,172.16.0.1,14815,192.168.10.50,80,6,7/7/2017 3:57,50379,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,230909.7044,158.7963239,7197.0,18544.01765,49245,3,943,471.5,642.7600641,926,17,50330,12582.5,24445.36506,49245,3,0,0,0,0,72,112,59.54862145,99.24770242,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
172.16.0.1-192.168.10.50-52416-80-6,172.16.0.1,52416,192.168.10.50,80,6,7/7/2017 4:08,5976850,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,5.019366389,0.836561065,1494212.5,2987095.035,5974855,19,5976850,1494212.5,2987095.035,5974855,19,0,0.0,0.0,0,0,0,0,0,0,100,0,0.836561065,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1995.0,0.0,1995,1995,5974855.0,0.0,5974855,5974855
