Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
172.16.0.1-192.168.10.50-54245-80-6,172.16.0.1,54245,192.168.10.50,80,6,7/7/2017 3:58,432766,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,26866.71319,20.79645813,54095.75,147977.8781,420179,16,12090,6045.0,8427.298618,12004,86,432698,86539.6,186584.4546,420179,16,0,0,0,0,72,132,6.932152711,13.86430542,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
172.16.0.1-192.168.10.50-59497-80-6,172.16.0.1,59497,192.168.10.50,80,6,7/7/2017 4:11,1026191,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,11336.0963,8.770297147,128273.875,362501.0043,1025418,3,585,292.5,351.4320702,541,44,1026147,205229.4,458499.4499,1025418,3,0,0,0,0,72,132,2.923432382,5.846864765,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
172.16.0.1-192.168.10.50-51319-80-6,172.16.0.1,51319,192.168.10.50,80,6,7/7/2017 3:57,4313918,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,6.954235106,1.159039184,1078479.5,2154961.462,4310921,1,4313918,1078479.5,2154961.462,4310921,1,0,0.0,0.0,0,0,0,0,0,0,100,0,1.159039184,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0
172.16.0.1-192.168.10.50-55394-80-6,172.16.0.1,55394,192.168.10.50,80,6,7/7/2017 3:58,72790925,9,5,62,11601,20,0,6.888888889,5.30199124,7300,0,2320.2,3022.508098,160.2260172,0.192331668,5599301.923,17700000.0,64200000,3,72300000,9032864.375,22500000.0,64200000,3,549934,137483.5,260083.6409,527297,187,0,0,0,0,192,112,0.123641786,0.068689881,0,7300,777.9333333,1970.892563,3884417.495,0,0,0,0,1,0,0,0,0,833.5,6.888888889,2320.2,192,0,0,0,0,0,0,9,62,5,11601,256,229,7,20,1944.0,0.0,1944,1944,36100000.0,39700000.0,64200000,8023790
192.168.10.17-34.192.66.131-46275-443-6,34.192.66.131,443,192.168.10.17,46275,6,7/7/2017 3:41,47,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,42553.19149,47.0,0.0,47,47,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,21276.59574,21276.59574,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,127,267,0,32,0.0,0.0,0,0,0.0,0.0,0,0
172.16.0.1-192.168.10.50-64471-80-6,172.16.0.1,64471,192.168.10.50,80,6,7/7/2017 4:05,9913056,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.421049573,0.403508262,3304352.0,5722649.969,9912299,332,9913056,3304352.0,5722649.969,9912299,332,0,0.0,0.0,0,0,0,0,0,0,80,0,0.403508262,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,757.0,0.0,757,757,9912299.0,0.0,9912299,9912299
172.16.0.1-192.168.10.50-64915-80-6,172.16.0.1,64915,192.168.10.50,80,6,7/7/2017 4:14,101901966,9,2,62,6,20,0,6.888888889,5.30199124,6,0,3.0,4.242640687,0.667308028,0.107946887,10200000.0,30100000.0,95800000,38,102000000,12700000.0,33600000.0,95800000,146,991,991.0,0.0,991,991,0,0,0,0,192,52,0.08832018,0.019626707,0,20,6.166666667,4.932882862,24.33333333,0,0,0,0,1,0,0,0,0,6.727272727,6.888888889,3.0,192,0,0,0,0,0,0,9,62,2,6,256,229,7,20,4568794.0,0.0,4568794,4568794,95800000.0,0.0,95800000,95800000
172.16.0.1-192.168.10.50-50319-80-6,172.16.0.1,50319,192.168.10.50,80,6,7/7/2017 4:05,37207,3,5,26,11601,20,0,8.666666667,10.26320288,4380,0,2320.2,2207.341206,312494.9606,215.0133039,5315.285714,11832.43156,31857,59,4920,2460.0,3365.828278,4840,80,37148,9287.0,15213.27024,31857,168,0,0,0,0,72,112,80.62998898,134.383315,0,4380,1291.888889,1980.710254,3923213.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
172.16.0.1-192.168.10.50-59381-80-6,172.16.0.1,59381,192.168.10.50,80,6,7/7/2017 4:01,22097,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,526180.0244,316.7850839,3682.833333,8464.65738,20957,2,21040,10520.0,14874.69825,21038,2,22016,7338.666667,11935.90358,21121,412,0,0,0,0,72,92,135.765036,181.020048,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
192.168.10.12-23.15.4.11-33598-80-6,192.168.10.12,33598,23.15.4.11,80,6,7/7/2017 3:42,115036563,16,14,543,248,543,0,33.9375,135.75,248,0,17.71428571,66.28078799,6.876074696,0.260786651,3966778.034,4985382.416,10200000,51,115000000,7669104.2,4417290.6,10200000,89,112000000,8649119.077,3834698.039,10200000,4219,0,0,0,0,520,456,0.139086214,0.121700437,0,543,25.51612903,105.8567809,11205.65806,0,0,0,1,0,0,0,0,0,26.36666667,33.9375,17.71428571,520,0,0,0,0,0,0,16,543,14,248,29200,939,1,32,16888.27273,5953.2837,34834,14974,10200000.0,66690.49322,10200000,10000000
