Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.10.106-192.168.10.15-443-58398-6,172.217.10.106,443,192.168.10.15,58398,6,7/7/2017 3:51,1114,3,1,50,6,38,6,16.66666667,18.47520861,6,6,6.0,0.0,50269.29982,3590.664273,371.3333333,569.2664871,1027,3,1114,557.0,783.4743136,1111,3,0,0.0,0.0,0,0,0,0,0,0,60,20,2692.998205,897.6660682,6,38,12.4,14.31083506,204.8,0,0,0,0,1,0,0,0,0,15.5,16.66666667,6.0,60,0,0,0,0,0,0,3,50,1,6,351,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.15-31.13.80.2-58505-443-6,31.13.80.2,443,192.168.10.15,58505,6,7/7/2017 3:51,12,3,0,83,0,46,6,27.66666667,20.20725942,0,0,0.0,0.0,6916666.667,250000.0,6.0,7.071067812,11,1,12,6.0,7.071067812,11,1,0,0.0,0.0,0,0,0,0,0,0,60,0,250000.0,0.0,6,46,22.25,19.73786547,389.5833333,0,0,0,0,1,0,0,0,0,29.66666667,27.66666667,0.0,60,0,0,0,0,0,0,3,83,0,0,123,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-37036-80-6,172.16.0.1,37036,192.168.10.50,80,6,7/7/2017 4:12,12079669,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,1.986809407,0.331134901,4026556.333,6968999.446,12100000,4,12100000,4026556.333,6968999.446,12100000,4,0,0.0,0.0,0,0,0,0,0,0,80,0,0.331134901,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,6006.0,0.0,6006,6006,12100000.0,0.0,12100000,12100000,DDoS
192.168.10.12-52.84.137.78-57280-443-6,192.168.10.12,57280,52.84.137.78,443,6,7/7/2017 4:00,115140735,24,25,5942,12690,5579,0,247.5833333,1136.611551,1727,0,507.6,695.4716026,161.8193596,0.425566156,2398765.312,4313365.819,10200000,3,115000000,5006118.913,5131645.036,10200000,4,112000000,4687243.333,5199920.444,10300000,48,0,0,0,0,776,808,0.208440566,0.21712559,0,5579,372.64,929.0248071,863087.0922,0,0,0,1,0,0,0,0,1,380.244898,247.5833333,507.6,776,0,0,0,0,0,0,24,5942,25,12690,29200,163,4,32,30016.45455,19668.32637,85571,22017,10200000.0,62889.71459,10200000,10000000,BENIGN
172.217.11.34-192.168.10.8-443-10048-6,192.168.10.8,10048,172.217.11.34,443,6,7/7/2017 4:35,165066,8,5,528,3749,208,0,66.0,80.93913057,1430,0,749.8,717.3780036,25910.84778,78.75637624,13755.5,15424.85673,36520,15,165066,23580.85714,18981.19733,52178,48,87097,21774.25,33692.58308,71130,187,0,0,0,0,172,112,48.4654623,30.29091394,0,1430,305.5,529.4124101,280277.5,0,0,0,1,0,0,0,0,0,329.0,66.0,749.8,172,0,0,0,0,0,0,8,528,5,3749,8192,343,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-61725-80-6,172.16.0.1,61725,192.168.10.50,80,6,7/7/2017 4:12,97278796,8,5,56,11607,20,0,7.0,5.656854249,5840,0,2321.4,3173.373883,119.8925201,0.133636522,8106566.333,27000000.0,94000000,49,96300000,13800000.0,35400000.0,94000000,181,967828,241957.0,482657.6428,965943,154,0,0,0,0,172,112,0.08223786,0.051398662,0,5840,833.5,2103.115592,4423095.192,0,0,0,0,1,0,0,0,0,897.6153846,7.0,2321.4,172,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,2355225.0,0.0,2355225,2355225,94000000.0,0.0,94000000,94000000,DDoS
192.168.10.1-192.168.10.3-53-61736-17,192.168.10.3,61736,192.168.10.1,53,17,7/7/2017 4:27,30745,1,1,47,175,47,47,47.0,0.0,175,175,175.0,0.0,7220.68629,65.05122784,30745.0,0.0,30745,30745,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,32.52561392,32.52561392,47,175,89.66666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,134.5,47.0,175.0,20,0,0,0,0,0,0,1,47,1,175,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.8-23.52.155.27-10302-80-6,23.52.155.27,80,192.168.10.8,10302,6,7/7/2017 4:59,17,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,705882.3529,117647.0588,17.0,0.0,17,17,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,58823.52941,58823.52941,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,1047,16425,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-20296-80-6,192.168.10.50,80,172.16.0.1,20296,6,7/7/2017 4:00,5444200,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,6.612541788,1.102090298,1088840.0,2426724.385,5429890,1,0,0.0,0.0,0,0,5433889,1358472.25,2714279.153,5429890,1,0,0,0,0,20,100,0.183681716,0.918408582,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,14310.0,0.0,14310,14310,5429890.0,0.0,5429890,5429890,BENIGN
172.16.0.1-192.168.10.50-59726-80-6,172.16.0.1,59726,192.168.10.50,80,6,7/7/2017 4:02,7962830,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.767504769,0.627917462,1990707.5,3979416.584,7959832,1,7962830,1990707.5,3979416.584,7959832,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.627917462,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2998.0,0.0,2998,2998,7959832.0,0.0,7959832,7959832,DDoS
