Feature,Importance
Bwd Packet Length Max,0.04738781080581672
Avg Fwd Segment Size,0.04297197651477679
act_data_pkt_fwd,0.041383533855888464
Destination Port,0.03954301622074868
Avg Bwd Segment Size,0.037737883935765784
Fwd Packet Length Mean,0.03760704584820653
Bwd Packet Length Mean,0.03684684018101633
Average Packet Size,0.0323981722187834
Protocol,0.03165614770662627
Fwd Packet Length Max,0.031481679043757635
Bwd Packet Length Std,0.03137034157211667
Source Port,0.030710560655984452
Total Fwd Packets,0.02817332183510686
Init_Win_bytes_forward,0.02758146065389134
Fwd IAT Std,0.027197573221760515
Fwd Header Length.1,0.027045974087408116
ACK Flag Count,0.02681159165440191
Subflow Fwd Bytes,0.026462865796443122
URG Flag Count,0.02523454375117241
Packet Length Std,0.022500751525293516
Subflow Fwd Packets,0.019899906372494173
Packet Length Variance,0.018532100510382416
Down/Up Ratio,0.016762737595533674
Total Backward Packets,0.015717928348422002
Fwd Packet Length Std,0.014440425598039461
Fwd IAT Total,0.01411036812423764
Total Length of Fwd Packets,0.014105672429167469
Fwd Header Length,0.013942470063612215
Bwd IAT Total,0.012879815029490704
Packet Length Mean,0.012829214841588036
Subflow Bwd Bytes,0.012505570191892452
PSH Flag Count,0.012384649673674785
Max Packet Length,0.011636967083310983
Bwd IAT Max,0.010894735025469206
min_seg_size_forward,0.010781474792031322
Fwd IAT Max,0.010613673165782597
Subflow Bwd Packets,0.010086080846607753
Bwd Packet Length Min,0.010071104673144768
Min Packet Length,0.009892518133237408
Flow IAT Std,0.009430350088386191
Bwd Header Length,0.009281142306883126
Bwd Packets/s,0.008919629164989626
Fwd Packet Length Min,0.008043180022416824
Fwd IAT Mean,0.007871435791240318
Total Length of Bwd Packets,0.0076416375206460685
Init_Win_bytes_backward,0.005151213132129981
Bwd IAT Std,0.005004055085961068
Flow Duration,0.004211682018619288
Flow IAT Max,0.0038645255745395515
Bwd IAT Mean,0.003656756384672122
Flow IAT Mean,0.0036101843384868213
Fwd PSH Flags,0.0035737710411316253
SYN Flag Count,0.0033028711214516233
Idle Mean,0.0029763751432363393
Fwd Packets/s,0.002009169825112235
Idle Max,0.001926911461100804
Idle Min,0.0015638329315991663
Flow Packets/s,0.0009088059620234279
Fwd IAT Min,0.0008568382031790357
Idle Std,0.0005171572396233545
Flow Bytes/s,0.0004068239246145245
FIN Flag Count,0.0003563751661020843
Flow IAT Min,0.00031662160029076247
Active Max,0.00013967689621176646
Bwd IAT Min,0.00010844726471495044
Active Mean,8.471840267286777e-05
Active Min,4.9307668413142e-05
Active Std,2.5196961577995154e-05
ECE Flag Count,8.041748887414682e-07
RST Flag Count,2.4293139080678845e-17
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
Fwd Avg Bulk Rate,0.0
